Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
72           290.9172236        14.5173141          1.24        12.4        7.73e-03      1.73e-03         5.73e-01       5.63e-01     2.97e+01    3.88       0.87          0.0436
73           290.9274962        14.5197999          1.2         12.04       1.14e-02      1.04e-03         6.39e-01       5.66e-01     1.01e+01    5.7        0.52          0.0309
74           290.9072131        14.5059019          1.24        12.39       1.80e-02      1.87e-03         8.67e-01       6.09e-01     1.33e+01    9.02       0.94          0.0227
75           290.9203512        14.5140918          1.23        12.31       3.79e-03      4.09e-04         6.48e-01       6.16e-01     1.52e+02    1.9        0.21          0.0985
76           290.9090498        14.5066022          1.23        12.34       8.95e-03      7.36e-04         8.30e-01       6.00e-01     2.51e+01    4.49       0.37          0.0445
77           290.9204455        14.5135224          1.21        12.09       3.81e-03      6.47e-04         7.08e-01       5.45e-01     1.61e+01    1.91       0.32          0.093 
78           290.9138569        14.5173527          1.2         12.04       8.61e-03      1.39e-03         8.16e-01       7.57e-01     7.51e+01    4.32       0.7           0.0537
79           290.9256826        14.5168074          1.17        14.9        1.84e-02      9.74e-04         1.65e+00       7.23e-01     9.79e+01    9.22       0.49          0.0309
80           290.92634          14.5156889          1.25        12.49       1.43e-02      1.33e-03         9.11e-01       6.46e-01     1.77e+02    7.17       0.67          0.0302
81           290.9115011        14.5172856          2.12        21.24       1.35e-02      8.95e-04         1.33e+00       1.18e+00     2.60e+01    6.81       0.45          0.0539
82           290.9153929        14.5217641          1.22        12.2        4.04e-03      6.96e-04         8.06e-01       6.41e-01     1.06e+02    2.03       0.35          0.102 
83           290.9158406        14.5206336          1.15        11.5        3.84e-03      2.00e-03         1.13e+00       9.12e-01     1.06e+02    1.93       1.0           0.1516
84           290.9170084        14.520328           1.09        12.15       1.34e-03      1.50e-03         4.76e-01       4.76e-01     4.37e+01    0.67       0.75          0.211 
85           290.9109889        14.5156454          1.11        11.14       4.46e-03      3.50e-04         1.06e+00       7.02e-01     1.42e+02    2.24       0.18          0.1075
86           290.9092897        14.520189           1.28        12.84       9.44e-03      5.90e-04         1.22e+00       9.21e-01     1.78e+02    4.74       0.3           0.0638
87           290.9125497        14.5149854          1.12        11.17       4.87e-03      4.19e-04         1.20e+00       6.78e-01     4.76e+00    2.44       0.21          0.1002
88           290.9143255        14.5179669          1.12        11.23       9.46e-03      2.01e-03         1.26e+00       8.98e-01     8.86e+01    4.75       1.01          0.0633
89           290.9212049        14.5164738          1.03        10.29       8.10e-03      7.59e-04         1.31e+00       9.22e-01     8.77e+01    4.07       0.38          0.076 
90           290.9145238        14.5194122          1.31        13.1        1.83e-02      1.71e-03         1.50e+00       1.06e+00     1.50e+02    9.19       0.86          0.0387
91           290.9119727        14.5159391          1.14        11.4        3.96e-03      4.89e-04         9.96e-01       6.61e-01     9.88e+01    1.99       0.25          0.1139
92           290.9187914        14.5190527          1.12        11.21       7.78e-03      9.76e-04         1.30e+00       9.58e-01     1.16e+02    3.91       0.49          0.0812
93           290.9231521        14.5144518          1.09        10.92       1.35e-02      2.03e-03         1.56e+00       1.04e+00     6.62e+01    6.78       1.02          0.0528
94           290.9078884        14.5199637          1.12        11.23       7.68e-03      4.03e-04         1.02e+00       8.34e-01     1.65e+02    3.86       0.2           0.0691
95           290.9213738        14.5163133          1.72        17.21       7.18e-03      7.03e-04         1.30e+00       9.92e-01     4.66e+01    3.61       0.35          0.09  
96           290.9208883        14.520451           1.15        11.51       8.43e-03      7.40e-04         1.70e+00       9.61e-01     1.60e+02    4.23       0.37          0.0821
97           290.9072906        14.5102016          1.1         11.01       5.28e-03      6.69e-04         9.55e-01       8.53e-01     8.40e+01    2.65       0.34          0.0999
98           290.9218314        14.5192932          1.08        10.83       6.94e-03      8.29e-04         1.22e+00       1.14e+00     7.34e+00    3.49       0.42          0.1   
