Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
111          290.9317238        14.5047362          1.14        11.44       6.28e-03      5.98e-04         8.92e-01       5.84e-01     1.45e+01    3.16       0.3           0.0637
112          290.9340145        14.5081191          1.15        11.45       8.08e-03      1.47e-03         7.89e-01       5.96e-01     1.35e+02    4.06       0.74          0.0482
113          290.9314767        14.5057244          1.2         12.01       6.07e-03      7.40e-04         7.93e-01       5.80e-01     1.75e+01    3.05       0.37          0.0632
114          290.9355399        14.510098           1.95        19.5        2.49e-02      1.53e-03         1.40e+00       1.23e+00     6.65e+01    12.51      0.77          0.0307
115          290.9340336        14.5107002          1.13        11.27       2.94e-03      6.06e-04         5.86e-01       4.84e-01     5.82e+01    1.48       0.3           0.1044
116          290.9248771        14.5120487          1.13        11.26       3.88e-03      6.96e-04         6.63e-01       5.55e-01     1.69e+00    1.95       0.35          0.0904
117          290.9308104        14.514778           1.13        11.28       3.41e-03      4.18e-04         7.17e-01       4.75e-01     1.29e+01    1.71       0.21          0.095 
118          290.9336306        14.5056441          1.16        11.64       1.06e-02      1.04e-03         9.30e-01       5.86e-01     8.23e+00    5.34       0.52          0.0383
119          290.9300548        14.5134891          1.13        11.31       2.91e-03      7.02e-04         5.90e-01       4.60e-01     1.00e+02    1.46       0.35          0.1023
120          290.9351534        14.5092968          1.14        11.43       3.45e-03      1.07e-03         6.05e-01       4.69e-01     8.72e+01    1.73       0.54          0.0881
121          290.9349511        14.5077777          2.24        22.41       3.11e-02      1.77e-03         1.74e+00       1.12e+00     3.25e+01    15.6       0.89          0.0248
122          290.9296856        14.5079222          1.72        17.18       1.67e-02      9.53e-04         1.14e+00       9.37e-01     2.79e+01    8.41       0.48          0.0356
123          290.9291137        14.5115039          1.11        11.07       7.12e-03      4.75e-04         9.56e-01       6.65e-01     8.87e+01    3.57       0.24          0.0628
124          290.9365473        14.5106408          1.28        12.76       1.12e-02      7.97e-04         1.09e+00       7.82e-01     1.08e+01    5.61       0.4           0.0466
125          290.9324221        14.5044391          1.09        10.89       7.49e-03      9.42e-04         9.80e-01       6.64e-01     8.82e+01    3.76       0.47          0.0601
126          290.9284891        14.5158672          1.13        11.32       4.71e-03      6.20e-04         9.36e-01       6.69e-01     5.94e+01    2.37       0.31          0.0946
127          290.9308296        14.5075974          1.11        11.13       6.82e-03      9.23e-04         7.59e-01       5.49e-01     2.65e+01    3.43       0.46          0.0534
128          290.9276653        14.5102057          1.11        11.12       3.03e-03      3.10e-04         5.93e-01       5.58e-01     8.52e+01    1.52       0.16          0.1119
129          290.9331225        14.5043672          1.14        11.35       2.76e-03      9.46e-04         1.15e+00       6.12e-01     9.57e+01    1.38       0.48          0.1629
130          290.9340489        14.5051058          1.09        10.95       7.81e-03      7.23e-04         9.12e-01       7.96e-01     1.38e+02    3.92       0.36          0.0635
131          290.9355191        14.5077791          1.09        10.94       5.91e-03      6.99e-04         8.33e-01       6.76e-01     1.29e+02    2.97       0.35          0.073 
132          290.9354672        14.5104083          1.04        10.4        3.37e-03      9.30e-04         7.40e-01       4.66e-01     9.31e+01    1.69       0.47          0.0961
133          290.9420341        14.4963173          1.26        12.57       2.04e-02      2.73e-03         9.42e-01       8.88e-01     1.33e+02    10.22      1.37          0.0265
134          290.9336802        14.5124683          1.06        10.63       5.88e-03      5.77e-04         1.14e+00       8.11e-01     4.78e+01    2.96       0.29          0.0918
